iter	Passed	Remaining
0	272	2175795
1	538	2153593
2	834	2224271
3	1084	2168423
4	1335	2135745
5	1609	2143994
6	1987	2269355
7	2252	2250456
8	2514	2232753
9	2775	2217941
10	3032	2202654
11	3280	2183438
12	3545	2178114
13	3796	2165526
14	4059	2160882
15	4304	2148185
16	4567	2144742
17	4804	2130745
18	5064	2127546
19	5313	2120085
20	5576	2118903
21	5825	2112436
22	6079	2108693
23	6332	2104422
24	6593	2103357
25	6846	2099848
26	7090	2093823
27	7340	2089936
28	7618	2094071
29	7880	2093636
30	8134	2091158
31	8383	2087454
32	8627	2082827
33	8864	2076794
34	9115	2074431
35	9356	2069906
36	9615	2069401
37	9858	2065646
38	10099	2061526
39	10347	2059164
40	10592	2056246
41	10823	2050878
42	11058	2046349
43	11305	2044323
44	11551	2042039
45	11795	2039578
46	12034	2036312
47	12278	2034193
48	12531	2033418
49	12772	2030779
50	13019	2029287
51	13264	2027458
52	13501	2024499
53	13734	2021005
54	13972	2018378
55	14215	2016525
56	14450	2013650
57	14687	2011219
58	14932	2009827
59	15185	2009593
60	15435	2008863
61	15689	2008743
62	15944	2008748
63	16189	2007471
64	16439	2006869
65	16684	2005649
66	16928	2004411
67	17186	2004802
68	17450	2005852
69	17705	2005741
70	17944	2003984
71	18198	2003904
72	18442	2002672
73	18694	2002353
74	18943	2001713
75	19204	2002360
76	19438	2000101
77	19678	1998578
78	19916	1996967
79	20160	1995907
80	20416	1995986
81	20659	1994924
82	20925	1995967
83	21170	1995100
84	21411	1993778
85	21668	1994029
86	21917	1993477
87	22148	1991381
88	22402	1991345
89	22666	1992121
90	22922	1992219
91	23186	1993001
92	23427	1991817
93	23667	1990620
94	23918	1990288
95	24159	1989164
96	24396	1987679
97	24640	1986853
98	24863	1984340
99	25094	1982452
100	25344	1982112
101	26331	2038892
102	26550	2035634
103	26785	2033616
104	27032	2032604
105	27261	2030195
106	27514	2029666
107	27744	2027433
108	27981	2025738
109	28207	2023278
110	28439	2021280
111	28664	2018775
112	28887	2016215
113	29121	2014473
114	29353	2012595
115	29594	2011424
116	29832	2010026
117	30079	2009235
118	30318	2007914
119	30529	2004753
120	30758	2002891
121	31001	2001911
122	31250	2001331
123	31501	2000829
124	31742	1999781
125	31982	1998643
126	32232	1998162
127	32481	1997642
128	32731	1997136
129	32984	1996856
130	33222	1995643
131	33468	1994954
132	33709	1993900
133	33953	1993146
134	34212	1993170
135	34445	1991765
136	34683	1990604
137	34927	1989835
138	35181	1989634
139	35425	1988895
140	35666	1987947
141	35904	1986904
142	36137	1985551
143	36389	1985224
144	36631	1984442
145	36875	1983724
146	37112	1982632
147	37353	1981738
148	37604	1981412
149	37862	1981478
150	38091	1979998
151	38336	1979378
152	38596	1979530
153	38852	1979451
154	39113	1979669
155	39462	1984244
156	39690	1982741
157	39925	1981613
158	40141	1979551
159	40383	1978800
160	40610	1977306
161	40838	1975901
162	41078	1975061
163	41304	1973565
164	41547	1972900
165	41773	1971397
166	41993	1969674
167	42209	1967783
168	42445	1966809
169	42688	1966159
170	42908	1964517
171	43145	1963635
172	43375	1962410
173	43608	1961373
174	43827	1959737
175	44058	1958611
176	44283	1957236
177	44516	1956215
178	44746	1955079
179	44977	1954021
180	45202	1952710
181	45420	1951075
182	45644	1949722
183	45875	1948726
184	46114	1948030
185	46346	1947046
186	46565	1945548
187	46814	1945293
188	47068	1945233
189	47326	1945360
190	47555	1944288
191	47793	1943611
192	48028	1942781
193	48273	1942383
194	48507	1941552
195	48749	1941033
196	49013	1941397
197	49256	1940902
198	49484	1939851
199	49729	1939446
200	49986	1939510
201	50211	1938356
202	50449	1937691
203	50697	1937431
204	50952	1937453
205	51185	1936603
206	51486	1938324
207	51902	1944353
208	52170	1944800
209	52397	1943707
210	52637	1943095
211	52872	1942304
212	53107	1941553
213	53338	1940638
214	53577	1940003
215	53869	1941299
216	54123	1941197
217	54398	1941867
218	54664	1942203
219	54918	1942130
220	55163	1941719
221	55418	1941660
222	55639	1940410
223	55877	1939754
224	56109	1938890
225	56341	1938040
226	56554	1936564
227	56792	1935921
228	57010	1934626
229	57223	1933171
230	57444	1931978
231	57668	1930897
232	57895	1929942
233	58130	1929221
234	58346	1927903
235	58568	1926819
236	58799	1925997
237	59016	1924715
238	59252	1924103
239	59491	1923569
240	59718	1922646
241	59955	1922041
242	60194	1921531
243	60428	1920845
244	60672	1920482
245	60890	1919287
246	61122	1918547
247	61349	1917666
248	61583	1917008
249	61815	1916272
250	62040	1915348
251	62285	1915026
252	62511	1914121
253	62746	1913514
254	62970	1912566
255	63193	1911604
256	63432	1911122
257	63651	1910052
258	63883	1909345
259	64094	1908037
260	64334	1907599
261	64593	1907729
262	64828	1907142
263	65073	1906849
264	65294	1905847
265	65540	1905596
266	65772	1904941
267	66006	1904335
268	66228	1903398
269	66455	1902595
270	66676	1901645
271	66909	1901026
272	67146	1900506
273	67396	1900374
274	67611	1899281
275	67858	1899057
276	68099	1898668
277	68337	1898212
278	68563	1897408
279	68810	1897202
280	69038	1896474
281	69292	1896444
282	69516	1895607
283	69746	1894946
284	69969	1894093
285	70207	1893648
286	70429	1892760
287	70640	1891596
288	70884	1891316
289	71109	1890520
290	71327	1889573
291	71557	1888924
292	71788	1888295
293	72014	1887562
294	72254	1887193
295	72476	1886352
296	72718	1886029
297	72955	1885569
298	73192	1885137
299	73413	1884290
300	73635	1883450
301	73857	1882638
302	74070	1881578
303	74304	1881086
304	74531	1880396
305	74776	1880175
306	75022	1879963
307	75258	1879503
308	75489	1878926
309	75702	1877912
310	75944	1877601
311	76187	1877343
312	76401	1876353
313	76622	1875547
314	76847	1874840
315	77077	1874240
316	77325	1874103
317	77560	1873649
318	77817	1873710
319	78038	1872927
320	78263	1872218
321	78486	1871480
322	78726	1871166
323	78958	1870638
324	79180	1869887
325	79416	1869449
326	79650	1868983
327	79874	1868291
328	80089	1867371
329	80326	1866971
330	80570	1866741
331	80795	1866072
332	81043	1865955
333	81288	1865744
334	81550	1865917
335	81790	1865613
336	82028	1865235
337	82253	1864574
338	82491	1864212
339	82716	1863551
340	82960	1863322
341	83178	1862523
342	83411	1862044
343	83651	1861735
344	83895	1861511
345	84140	1861309
346	84368	1860727
347	84606	1860367
348	84833	1859780
349	85061	1859202
350	85297	1858798
351	85509	1857884
352	85739	1857372
353	85981	1857094
354	86245	1857305
355	86469	1856673
356	86692	1855997
357	86942	1855906
358	87169	1855336
359	87416	1855171
360	87645	1854640
361	87980	1856349
362	88217	1855974
363	88435	1855193
364	88703	1855484
365	88934	1854987
366	89169	1854576
367	89414	1854385
368	89610	1853163
369	89832	1852486
370	90047	1851672
371	90292	1851490
372	90524	1851027
373	90746	1850359
374	90992	1850178
375	91206	1849356
376	91447	1849091
377	91671	1848466
378	91905	1848053
379	92143	1847726
380	92371	1847191
381	92585	1846369
382	92821	1845999
383	93087	1846242
384	93315	1845714
385	93586	1846020
386	93814	1845505
387	94042	1844983
